% # columns="iteration, evaluation, void, void, void, xmean", seed=184326, Mon Feb 28 17:01:58 2022, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 29 0 0 0 0.4842887775247722 0.07871428726128588 0.5621489817514334
2 58 0 0 0 0.4945412043454284 -0.04623633598861371 0.9391715487121012
3 87 0 0 0 0.459726648273801 -0.07459099636346594 0.8838523090593078
4 116 0 0 0 0.4125161199227534 -0.049577076142452034 1.050815226960376
5 145 0 0 0 0.08072447368287983 -0.06185841377981597 1.0989593435581322
6 174 0 0 0 -0.17397641039430733 -0.05117861978755646 1.0805465717447902
7 203 0 0 0 -0.09757969888508988 -0.004042603617130991 1.1346058380487263
8 232 0 0 0 -0.0095615913239121 -0.04247387253227914 1.05651869889311
9 261 0 0 0 -0.14600884618617252 -0.02596401419908293 0.9906942295035792
10 290 0 0 0 -0.08866802299902266 -0.05853451885417173 1.1100997693131387
11 319 0 0 0 -0.08453122280536941 -0.059182316464384946 1.1167822079106082
12 348 0 0 0 -0.12936042968125383 -0.03979809783908022 1.102262202932644
13 377 0 0 0 0.007246463360313787 -0.05746703348984656 1.0903490080170137
14 406 0 0 0 -0.0529188440648346 -0.05395739905532501 1.1148683253192557
15 435 0 0 0 -0.11902017801704194 -0.06699747066549933 1.1244797531248163
16 464 0 0 0 -0.1106933164432353 -0.05987132512571979 1.130204583337287
17 493 0 0 0 -0.2311434446599984 -0.045759423683854474 1.1280196331226244
18 522 0 0 0 -0.2469923723624169 -0.042488634778221054 1.134944323603366
