% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=249291, Mon Feb 28 18:02:29 2022, <python>{}</python>
1 35 0.3854013337110551 0 0 0.49020340561586484 0.33628614682035224 0.35721511795115996 0.33897917248731874 0.3620561665206693
2 70 0.378271110810398 0 0 0.5545884119527112 0.31915177956096863 0.29830179056985173 0.29236906978215776 0.3425923437379682
3 105 0.4038685688115903 0 0 0.6528403462786263 0.3529494568215578 0.29693726230366807 0.29563656681208517 0.37222420358318103
4 140 0.5055503733128365 0 0 0.9535865452642238 0.38873905061779307 0.36135929318732984 0.32999830202708325 0.44390302150348937
5 175 0.5115956317729823 0 0 0.9248936239721527 0.36217547148727564 0.31343788662511146 0.2927128228288159 0.42203865341921293
6 210 0.5019983979833357 0 0 0.9972588447286175 0.33916130581276444 0.280926968954164 0.2812341835390162 0.37680017247288144
7 245 0.4676587021368936 0 0 0.9528358803834361 0.3019730779692493 0.23669412727705375 0.24021045694700538 0.321522776498633
8 280 0.4836692463828654 0 0 1.0075143857426208 0.2920423075473123 0.20689019556756402 0.24018990653362376 0.35513596292004973
9 315 0.4173862331381717 0 0 0.778273956563688 0.23081218970523465 0.1562403224898538 0.2057987924977918 0.3054914111101836
10 350 0.40405095372246874 0 0 0.7882078918907259 0.22015205820224223 0.15960500906019473 0.18783468273507478 0.27470429609343366
11 385 0.3701835792076753 0 0 0.616072238070618 0.17113026440267773 0.13847536907514477 0.16066416314056214 0.27505285774651644
12 420 0.3681164700451219 0 0 0.5943009892772595 0.15961837353691521 0.13533849961837022 0.1586175929493866 0.2901651137250636
13 455 0.3711501286703618 0 0 0.631486362739399 0.14525995816773288 0.1348081882183496 0.1584591478145774 0.32018225119561666
14 490 0.3697507051396308 0 0 0.5983417908510076 0.1439769385028722 0.12310946791721138 0.14957860519436872 0.32334214239621917
15 525 0.3772149936628065 0 0 0.5761263947223748 0.14492022966032478 0.1275287068008399 0.1492962841959991 0.2790707285168553
