% # columns="iteration, evaluation, void, void, void, xmean", seed=249291, Mon Feb 28 18:02:29 2022, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 35 0 0 0 0.24550382320974917 0.07961753954567552 1.2570423437933629 1.0638246402175542 0.9830637293815314
2 70 0 0 0 0.4894081183090265 0.09338057768333344 1.2104243341518905 1.0098752280189953 0.973352368198619
3 105 0 0 0 0.6822197183608719 -0.03998266406382786 1.234302568977122 1.0969304602916627 0.8913356882029766
4 140 0 0 0 1.225031798809513 -0.08434860241910196 1.0831276402411172 1.0691637341899745 0.8710496681165587
5 175 0 0 0 1.4267653750568017 0.007263307308435454 1.1284378632272336 0.9794789671022804 0.953097088498701
6 210 0 0 0 1.7733633447874466 -0.121516206034511 1.0890291404033787 1.042346159565958 1.0184204459617552
7 245 0 0 0 1.5975986443128032 0.034855402558509344 1.0690301193207463 1.0820921447040932 0.9348286075731898
8 280 0 0 0 1.9281262855328805 0.08422529730026057 1.0593842968500156 1.1243226890743863 1.1039059665324147
9 315 0 0 0 1.8592317652862396 0.09286873592951164 1.062816404861964 1.1246404149102582 0.9349695725811022
10 350 0 0 0 1.6392076281001815 0.10571844751682939 1.1561060913838015 1.139214362975714 1.0335233229880776
11 385 0 0 0 1.6018532792152929 0.12627444318077405 1.1876197584279211 1.0887116749554133 0.9760658152789881
12 420 0 0 0 1.4939497452180714 0.12522033581758824 1.2258824385216138 1.0248932090493987 1.0166227400642598
13 455 0 0 0 1.9080664056761354 0.06856279092842867 1.1743215253524644 1.0799913401727614 0.8343050131685312
14 490 0 0 0 2.008175672640017 0.07911656651166608 1.1606916522077027 1.0527651750677438 0.700209660812503
15 525 0 0 0 2.0003632327666416 0.09518680404948862 1.0937079680672463 1.031907790552653 0.7091820767294379
